iter	Passed	Remaining
759	42599	13452
760	42657	13397
761	42716	13341
762	42768	13284
763	42834	13231
764	42884	13173
765	42941	13117
766	42990	13059
767	43048	13004
768	43104	12948
769	43164	12893
770	43221	12837
771	43278	12781
772	43327	12723
773	43385	12668
774	43444	12612
775	43500	12556
776	43560	12502
777	43616	12445
778	43667	12388
779	43721	12331
780	43766	12272
781	43834	12219
782	43901	12166
783	43960	12111
784	44016	12055
785	44076	12000
786	44124	11942
787	44173	11884
788	44228	11827
789	44292	11773
790	44345	11716
791	44402	11661
792	44460	11605
793	44560	11561
794	44616	11504
795	44673	11448
796	44724	11391
797	44778	11334
798	44834	11278
799	44887	11221
800	44956	11168
801	45022	11115
802	45087	11061
803	45157	11008
804	45236	10957
805	45296	10902
806	45360	10848
807	45415	10791
808	45471	10735
809	45528	10679
810	45581	10622
811	45635	10565
812	45691	10509
813	45757	10455
814	45816	10400
815	45876	10344
816	45935	10289
817	45994	10233
818	46051	10177
819	46111	10122
820	46174	10067
821	46225	10009
822	46283	9953
823	46344	9898
824	46392	9840
825	46441	9783
826	46493	9725
827	46545	9668
828	46605	9613
829	46657	9556
830	46712	9499
831	46767	9443
832	46818	9386
833	46878	9330
834	46935	9274
835	46984	9217
836	47034	9159
837	47084	9102
838	47132	9044
839	47194	8989
840	47248	8932
841	47306	8876
842	47358	8819
843	47415	8764
844	47472	8708
845	47537	8653
846	47590	8596
847	47643	8539
848	47712	8485
849	47792	8433
850	47866	8380
851	47929	8325
852	47988	8269
853	48064	8217
854	48133	8163
855	48187	8106
856	48234	8048
857	48287	7991
858	48340	7934
859	48399	7878
860	48444	7820
861	48497	7764
862	48550	7707
863	48600	7650
864	48648	7592
865	48700	7535
866	48758	7479
867	48819	7424
868	48873	7367
869	48937	7312
870	49006	7258
871	49061	7201
872	49119	7145
873	49176	7089
874	49226	7032
875	49274	6974
876	49329	6918
877	49385	6862
878	49447	6806
879	49504	6750
880	49554	6693
881	49614	6637
882	49668	6581
883	49730	6525
884	49796	6470
885	49863	6415
886	49923	6360
887	49986	6304
888	50053	6249
889	50121	6194
890	50187	6139
891	50243	6083
892	50292	6026
893	50347	5969
894	50398	5912
895	50446	5855
896	50502	5799
897	50556	5742
898	50621	5687
899	50678	5630
900	50740	5575
901	50807	5520
902	50874	5464
903	50933	5408
904	50993	5352
905	51046	5296
906	51102	5239
907	51161	5183
908	51215	5127
909	51274	5071
910	51332	5014
911	51388	4958
912	51440	4901
913	51492	4845
914	51549	4788
915	51603	4732
916	51667	4676
917	51730	4620
918	51788	4564
919	51845	4508
920	51906	4452
